2026-05-05 01:46:00.350 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:46:35.358 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:47:10.428 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:47:45.432 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:48:20.510 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:48:55.582 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:49:30.638 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:50:05.746 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:50:40.778 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:51:15.842 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_connect:149 | Cannot open RTSP stream: rtsp://admin:password@192.168.1.100:554/stream1
2026-05-05 01:51:15.842 | ERROR    | module_edge_firmware.ingestion.rtsp_capture:_capture_loop:99 | Max reconnect attempts reached. Stopping.
